SquareFeet,Bedrooms,Bathrooms,Age,Floor,DistanceToDowntown,HasParking,Rent
874.0,3.0,3.0,38.0,6,6.84,0,3035.36
1125.0,2.0,1.0,39.0,1,5.6,0,2685.74
1329.0,3.0,3.0,0.0,4,4.8,0,3613.17
650.0,2.0,2.0,18.0,9,2.45,1,3376.92
914.0,2.0,2.0,1.0,1,2.62,0,3381.12
636.0,2.0,2.0,37.0,7,3.62,1,3296.9
945.0,3.0,3.0,11.0,7,8.69,0,2813.76
805.0,2.0,2.0,32.0,4,6.96,1,2848.43
831.0,4.0,3.0,43.0,7,6.16,1,3293.03
834.0,2.0,2.0,9.0,2,8.43,0,2457.09
895.0,1.0,1.0,21.0,1,5.16,0,2448.37
863.0,2.0,2.0,9.0,4,1.75,1,3672.69
943.0,3.0,3.0,41.0,8,5.64,0,3099.64
852.0,2.0,2.0,38.0,2,8.48,1,2405.15
731.0,4.0,3.0,2.0,3,2.38,0,4066.69
560.0,2.0,1.0,23.0,4,4.2,0,2808.0
986.0,1.0,1.0,39.0,4,7.26,1,2375.4
814.0,1.0,1.0,33.0,9,3.28,1,2933.22
991.0,1.0,1.0,5.0,7,7.76,1,2424.04
400.0,1.0,1.0,8.0,2,3.7,0,2570.64
549.0,2.0,1.0,9.0,3,7.21,1,2737.17
679.0,2.0,1.0,37.0,7,7.08,1,2639.81
979.0,1.0,1.0,16.0,6,5.26,1,2640.37
696.0,2.0,2.0,17.0,5,1.13,0,3143.67
876.0,1.0,1.0,18.0,8,5.05,1,2510.13
766.0,2.0,2.0,19.0,8,8.05,1,2688.92
980.0,3.0,3.0,48.0,9,3.38,1,3659.53
1090.0,1.0,1.0,49.0,6,6.34,1,2298.73
526.0,1.0,1.0,11.0,3,7.33,1,2219.93
988.0,1.0,1.0,49.0,2,6.39,1,1967.61
784.0,3.0,2.0,33.0,7,4.02,0,3274.07
984.0,3.0,3.0,24.0,7,7.58,1,3489.28
805.0,2.0,1.0,10.0,4,2.73,1,3109.39
707.0,1.0,1.0,8.0,7,5.81,1,2180.59
827.0,2.0,1.0,23.0,3,4.77,1,2706.77
529.0,2.0,1.0,18.0,8,6.12,1,2514.26
907.0,1.0,1.0,23.0,2,4.89,1,2668.59
646.0,2.0,1.0,36.0,2,5.72,0,2329.71
990.0,1.0,1.0,17.0,4,6.22,1,2600.83
589.0,2.0,2.0,9.0,8,4.84,0,2853.8
1036.0,2.0,1.0,12.0,4,1.31,1,3297.86
1047.0,3.0,3.0,10.0,7,5.94,1,3614.17
1258.0,2.0,2.0,3.0,2,2.06,0,3436.06
686.0,2.0,2.0,17.0,5,3.55,1,3403.17
796.0,1.0,1.0,17.0,4,7.63,1,2248.93
475.0,2.0,2.0,33.0,6,2.19,0,3234.82
727.0,1.0,1.0,40.0,6,6.24,1,2139.27
847.0,2.0,2.0,6.0,8,4.03,1,3452.19
801.0,2.0,2.0,3.0,7,6.04,1,3631.25
572.0,4.0,3.0,41.0,4,7.43,0,3235.21
516.0,1.0,1.0,49.0,4,4.19,0,2110.66
757.0,2.0,2.0,13.0,6,5.12,1,3131.37
1150.0,1.0,1.0,19.0,6,5.68,1,2571.06
599.0,1.0,1.0,0.0,4,7.06,1,2363.02
942.0,2.0,2.0,16.0,1,4.66,1,3166.63
800.0,1.0,1.0,40.0,9,3.85,1,2530.2
602.0,1.0,1.0,30.0,7,5.63,1,2708.07
655.0,1.0,1.0,7.0,2,3.25,1,2824.31
400.0,3.0,3.0,48.0,7,1.68,1,3817.43
943.0,1.0,1.0,23.0,6,5.18,1,2687.93
545.0,3.0,3.0,23.0,8,3.89,1,3626.69
566.0,2.0,2.0,38.0,4,4.85,0,2758.61
674.0,3.0,3.0,18.0,1,4.06,1,3589.11
912.0,2.0,2.0,37.0,2,6.33,0,2397.1
1358.0,1.0,1.0,11.0,5,4.75,0,2368.74
860.0,2.0,2.0,6.0,3,4.37,1,3173.2
885.0,3.0,3.0,30.0,5,6.17,0,3338.76
965.0,1.0,1.0,7.0,8,3.67,1,2932.14
905.0,2.0,2.0,47.0,7,4.23,1,3327.29
1282.0,2.0,1.0,17.0,7,5.93,1,2727.13
1041.0,1.0,1.0,7.0,2,4.56,1,2730.11
576.0,2.0,2.0,25.0,5,5.34,1,2429.75
779.0,1.0,1.0,31.0,2,3.56,1,2825.59
639.0,2.0,1.0,4.0,8,4.81,0,2896.48
861.0,2.0,2.0,6.0,2,2.82,0,3052.75
1065.0,1.0,1.0,25.0,6,3.46,1,2465.75
1044.0,1.0,1.0,7.0,7,3.66,1,3066.13
961.0,1.0,1.0,34.0,1,7.07,1,2160.35
1037.0,3.0,3.0,5.0,5,4.4,1,3967.11
535.0,1.0,1.0,22.0,5,3.66,1,2739.43
765.0,1.0,1.0,39.0,7,2.61,1,2628.59
764.0,3.0,3.0,23.0,6,3.2,1,3829.77
1000.0,4.0,3.0,40.0,9,6.94,0,3447.12
1247.0,2.0,1.0,35.0,2,5.14,1,2732.33
782.0,2.0,2.0,22.0,2,5.07,1,3199.55
847.0,2.0,2.0,26.0,1,7.92,1,2442.44
1006.0,3.0,3.0,41.0,3,4.46,0,3537.08
971.0,2.0,2.0,23.0,6,5.19,0,3093.27
1004.0,3.0,2.0,49.0,1,7.91,1,2863.49
635.0,1.0,1.0,48.0,5,5.26,1,2095.46
695.0,1.0,1.0,12.0,1,8.28,0,2114.96
558.0,2.0,2.0,14.0,7,2.62,0,2940.01
1053.0,2.0,2.0,39.0,9,6.73,0,2716.01
1251.0,1.0,1.0,28.0,8,4.74,1,2780.59
1013.0,2.0,1.0,37.0,6,10.1,0,1996.95
877.0,2.0,2.0,24.0,7,5.35,1,2701.4
751.0,2.0,2.0,43.0,8,3.83,1,3294.98
895.0,1.0,1.0,14.0,1,5.55,0,2346.45
1296.0,3.0,3.0,15.0,7,5.43,1,3763.9
535.0,2.0,2.0,27.0,4,4.35,1,3256.98
919.0,2.0,2.0,33.0,6,3.81,1,3360.17
1133.0,2.0,1.0,13.0,5,3.9,0,2974.0
697.0,1.0,1.0,47.0,9,4.75,1,2286.71
977.0,2.0,2.0,10.0,2,7.3,1,3229.31
645.0,2.0,2.0,15.0,8,5.84,1,3088.87
756.0,1.0,1.0,22.0,1,6.92,1,2088.8
876.0,1.0,1.0,0.0,6,9.06,1,2397.25
825.0,1.0,1.0,7.0,1,6.65,0,2085.92
782.0,3.0,3.0,29.0,7,4.01,1,3568.34
781.0,3.0,3.0,3.0,8,4.7,1,3730.07
616.0,3.0,3.0,13.0,5,3.79,1,3785.36
666.0,2.0,2.0,2.0,2,4.14,1,3218.61
781.0,2.0,2.0,24.0,6,5.7,1,3018.78
1046.0,1.0,1.0,46.0,9,5.99,0,2247.8
842.0,1.0,1.0,17.0,9,7.16,1,2172.02
918.0,3.0,3.0,1.0,3,4.98,0,3658.62
755.0,1.0,1.0,7.0,4,2.66,0,2870.53
682.0,3.0,3.0,36.0,3,2.37,1,3671.57
538.0,2.0,2.0,33.0,8,1.9,1,3171.54
889.0,2.0,2.0,34.0,4,1.75,0,3150.54
934.0,1.0,1.0,14.0,8,5.04,0,2692.32
896.0,2.0,2.0,25.0,6,7.53,1,2493.28
873.0,2.0,1.0,12.0,4,9.12,1,2421.34
904.0,1.0,1.0,20.0,1,8.4,1,2212.94
637.0,2.0,2.0,27.0,2,4.56,0,2618.38
753.0,1.0,1.0,14.0,3,4.83,0,2462.23
534.0,1.0,1.0,1.0,8,7.32,1,2500.86
953.0,2.0,2.0,5.0,9,5.95,1,3326.0
477.0,2.0,2.0,27.0,5,2.88,0,2963.28
764.0,2.0,2.0,25.0,4,5.95,0,3207.5
641.0,2.0,1.0,4.0,7,6.31,1,2762.06
982.0,2.0,2.0,27.0,4,6.83,1,2697.59
1193.0,1.0,1.0,33.0,8,6.64,1,2364.53
754.0,3.0,3.0,47.0,8,8.81,1,3069.1
1325.0,3.0,3.0,28.0,5,6.53,1,3316.01
581.0,2.0,2.0,29.0,6,4.41,0,2720.88
912.0,2.0,1.0,1.0,1,4.18,0,2912.44
546.0,2.0,2.0,40.0,8,4.1,1,2895.37
893.0,2.0,1.0,15.0,2,4.18,1,2951.68
1037.0,3.0,3.0,4.0,7,7.58,0,3474.51
787.0,1.0,1.0,10.0,8,4.33,1,2904.9
582.0,3.0,3.0,38.0,1,3.08,0,3197.05
1034.0,1.0,1.0,5.0,9,6.84,1,2732.7
1227.0,3.0,3.0,5.0,6,4.45,1,4064.08
829.0,1.0,1.0,1.0,5,4.1,1,3147.93
1280.0,2.0,2.0,13.0,9,5.27,1,3381.74
976.0,2.0,1.0,10.0,4,5.46,1,3103.47
717.0,1.0,1.0,42.0,9,10.18,1,2068.04
653.0,3.0,2.0,5.0,2,6.93,1,3060.52
775.0,2.0,2.0,30.0,6,8.46,1,2643.13
1099.0,1.0,1.0,14.0,8,2.58,1,3290.42
455.0,2.0,2.0,35.0,1,8.28,1,2291.52
754.0,3.0,3.0,42.0,9,3.26,1,3771.23
666.0,1.0,1.0,28.0,4,7.72,1,2311.07
564.0,3.0,2.0,17.0,8,6.19,1,3001.8
532.0,2.0,2.0,16.0,6,0.04,1,3470.6
1127.0,2.0,1.0,43.0,4,5.6,1,2896.78
707.0,1.0,1.0,11.0,6,1.94,1,2952.14
639.0,2.0,1.0,30.0,2,5.03,1,2687.12
592.0,2.0,2.0,1.0,8,3.93,1,3337.99
790.0,2.0,1.0,26.0,9,8.21,1,2591.47
963.0,2.0,1.0,42.0,6,3.9,0,2999.88
790.0,2.0,2.0,42.0,2,5.47,1,2684.79
781.0,1.0,1.0,30.0,6,7.28,1,2379.48
1077.0,2.0,2.0,29.0,4,4.02,0,3170.64
668.0,2.0,1.0,25.0,4,3.58,1,2860.91
612.0,1.0,1.0,26.0,8,4.58,0,2566.39
665.0,2.0,1.0,6.0,4,4.37,1,2979.27
974.0,2.0,1.0,15.0,6,5.06,1,2861.07
893.0,1.0,1.0,17.0,7,5.65,1,2902.49
690.0,2.0,2.0,30.0,8,2.96,1,3566.02
947.0,1.0,1.0,13.0,5,10.02,1,1840.15
1187.0,3.0,3.0,28.0,4,2.61,1,3785.73
780.0,3.0,2.0,45.0,5,3.22,1,3229.75
783.0,2.0,1.0,25.0,1,3.39,1,2976.1
809.0,2.0,2.0,21.0,5,6.87,1,2575.51
515.0,2.0,2.0,49.0,7,7.75,1,2651.67
621.0,1.0,1.0,5.0,3,4.88,1,2664.14
791.0,2.0,1.0,15.0,2,6.31,1,2593.92
1335.0,2.0,1.0,49.0,1,3.81,1,2622.92
830.0,3.0,2.0,7.0,3,0.05,1,3967.19
866.0,1.0,1.0,37.0,8,3.41,1,2878.18
1024.0,2.0,1.0,28.0,3,4.2,1,2849.33
1068.0,3.0,2.0,8.0,2,6.86,1,3174.4
779.0,2.0,2.0,15.0,1,7.07,1,2757.87
868.0,1.0,1.0,33.0,4,4.24,1,2792.62
400.0,2.0,1.0,25.0,1,6.02,1,2610.86
1001.0,2.0,2.0,45.0,9,2.65,1,3259.15
700.0,1.0,1.0,24.0,8,7.61,1,2219.72
1180.0,3.0,3.0,47.0,1,4.93,1,3481.27
864.0,1.0,1.0,25.0,8,4.29,1,2631.18
831.0,2.0,1.0,16.0,7,5.47,0,2713.61
805.0,2.0,2.0,2.0,4,5.49,1,2981.16
837.0,2.0,2.0,44.0,3,7.71,1,2395.27
846.0,2.0,1.0,35.0,7,3.41,1,2937.84
881.0,1.0,1.0,39.0,5,8.82,1,1957.71
922.0,2.0,2.0,16.0,3,4.91,1,2944.19
1057.0,1.0,1.0,6.0,9,8.02,1,2567.7
596.0,3.0,3.0,42.0,8,2.04,1,3880.82
840.0,3.0,2.0,35.0,4,7.27,0,2681.94
652.0,3.0,3.0,23.0,6,5.82,1,3410.62
749.0,2.0,2.0,23.0,3,7.34,1,2726.07
587.0,2.0,2.0,44.0,6,5.24,1,2877.28
606.0,1.0,1.0,29.0,6,0.36,1,2784.4
791.0,1.0,1.0,0.0,7,5.27,1,2720.77
818.0,2.0,1.0,32.0,1,1.79,1,3118.45
1050.0,2.0,1.0,41.0,2,3.21,0,2662.69
1058.0,1.0,1.0,4.0,4,3.19,1,2899.54
533.0,1.0,1.0,20.0,2,6.43,1,2114.05
868.0,4.0,3.0,32.0,1,3.52,1,3890.44
974.0,2.0,2.0,46.0,4,4.18,0,2903.84
1042.0,1.0,1.0,43.0,7,4.08,0,2580.69
563.0,3.0,3.0,13.0,4,5.4,0,3114.76
793.0,1.0,1.0,7.0,7,8.88,1,2248.51
1004.0,3.0,3.0,19.0,8,6.61,1,3549.86
719.0,1.0,1.0,5.0,5,2.28,1,3056.46
919.0,2.0,2.0,6.0,5,4.87,1,3495.77
847.0,1.0,1.0,18.0,9,5.15,1,2534.58
932.0,1.0,1.0,0.0,8,3.45,1,3078.88
734.0,2.0,2.0,37.0,3,9.19,0,2301.24
620.0,2.0,1.0,21.0,9,3.9,1,3127.11
1052.0,2.0,2.0,35.0,1,6.68,0,2301.83
1147.0,2.0,2.0,21.0,9,3.35,1,3564.87
790.0,1.0,1.0,32.0,2,7.52,0,1901.37
597.0,1.0,1.0,30.0,1,2.77,1,2518.3
473.0,1.0,1.0,9.0,6,4.52,1,2426.95
754.0,2.0,2.0,17.0,7,4.04,0,3264.8
680.0,4.0,3.0,0.0,1,7.62,1,3352.53
1138.0,1.0,1.0,20.0,4,5.76,1,2588.13
771.0,1.0,1.0,14.0,8,6.57,1,2641.56
927.0,3.0,2.0,2.0,2,5.93,0,3404.19
1118.0,1.0,1.0,48.0,6,1.9,1,2920.38
712.0,2.0,2.0,19.0,6,4.11,1,3027.23
459.0,2.0,2.0,5.0,4,3.95,1,3192.49
960.0,1.0,1.0,23.0,2,4.79,1,2539.7
984.0,1.0,1.0,18.0,2,3.29,1,2841.66
706.0,2.0,1.0,16.0,5,4.38,1,3002.58
692.0,2.0,2.0,10.0,7,6.48,1,3114.14
871.0,1.0,1.0,24.0,2,4.97,1,2494.83
897.0,3.0,2.0,9.0,6,7.82,0,2846.81
867.0,2.0,2.0,36.0,5,2.32,1,3253.75
907.0,2.0,2.0,1.0,4,6.8,1,3065.68
870.0,2.0,1.0,29.0,3,6.81,1,2478.75
563.0,1.0,1.0,34.0,5,3.28,1,2544.82
731.0,2.0,2.0,35.0,9,5.56,0,2785.71
864.0,3.0,2.0,6.0,6,1.77,1,3796.92
852.0,2.0,1.0,11.0,5,6.58,1,3065.06
1017.0,2.0,1.0,37.0,4,4.4,1,2836.97
760.0,3.0,3.0,13.0,7,3.33,1,3706.27
736.0,2.0,2.0,28.0,6,4.86,1,2906.77
819.0,2.0,2.0,47.0,1,4.85,1,2450.18
1179.0,3.0,2.0,48.0,8,4.91,1,3563.53
1113.0,2.0,1.0,1.0,5,3.63,1,3268.23
1300.0,1.0,1.0,39.0,1,1.76,1,2852.66
955.0,1.0,1.0,49.0,3,4.35,1,2348.2
660.0,3.0,2.0,23.0,3,5.29,1,3112.51
1067.0,2.0,2.0,29.0,3,6.21,1,2889.15
753.0,1.0,1.0,2.0,3,7.37,0,2083.61
767.0,1.0,1.0,13.0,8,6.78,1,2610.36
660.0,2.0,2.0,40.0,6,6.28,1,2739.56
757.0,1.0,1.0,10.0,8,6.54,1,2284.41
910.0,1.0,1.0,47.0,2,3.17,0,2370.88
878.0,3.0,2.0,2.0,1,4.01,0,3225.4
975.0,3.0,2.0,49.0,9,5.7,1,3454.22
938.0,2.0,1.0,27.0,5,5.92,1,2963.84
634.0,3.0,3.0,25.0,7,4.22,1,3770.27
567.0,2.0,2.0,5.0,4,3.71,0,3108.03
1140.0,2.0,2.0,27.0,1,5.08,1,3137.16
648.0,2.0,2.0,22.0,1,5.64,1,2790.24
1141.0,2.0,1.0,32.0,8,5.64,1,3043.01
802.0,3.0,3.0,8.0,9,2.82,1,4009.41
1067.0,2.0,2.0,29.0,5,7.38,1,2749.38
835.0,1.0,1.0,5.0,2,7.59,0,2058.04
1283.0,2.0,2.0,47.0,8,3.91,0,2954.22
1200.0,1.0,1.0,38.0,6,0.98,1,2922.86
1023.0,2.0,2.0,36.0,3,6.28,0,2763.73
1242.0,1.0,1.0,48.0,2,5.1,1,2372.08
607.0,2.0,2.0,10.0,1,3.26,0,2932.49
883.0,1.0,1.0,10.0,3,1.83,1,3172.8
767.0,1.0,1.0,2.0,4,8.52,1,2269.85
817.0,2.0,1.0,1.0,4,4.17,1,2957.84
620.0,1.0,1.0,23.0,8,4.39,1,2649.68
885.0,1.0,1.0,17.0,6,4.8,1,2781.81
1128.0,2.0,2.0,23.0,7,3.26,1,3396.3
1214.0,1.0,1.0,9.0,6,3.79,1,2997.92
939.0,2.0,2.0,36.0,5,2.63,0,3115.87
600.0,2.0,1.0,19.0,7,6.4,1,2470.24
889.0,3.0,3.0,6.0,9,4.2,0,3868.72
936.0,1.0,1.0,27.0,7,2.5,1,2855.24
891.0,2.0,2.0,10.0,7,8.86,0,2743.18
796.0,3.0,3.0,43.0,5,6.72,0,2918.32
935.0,1.0,1.0,15.0,9,7.9,1,2527.12
609.0,4.0,3.0,22.0,1,6.59,1,3594.46
671.0,2.0,2.0,6.0,2,4.85,0,3083.36
752.0,3.0,3.0,40.0,1,1.84,1,3529.08
952.0,1.0,1.0,6.0,7,4.06,1,2686.03
1144.0,2.0,2.0,4.0,6,6.6,1,3194.62
785.0,1.0,1.0,5.0,7,5.92,1,2769.88
999.0,2.0,2.0,31.0,1,5.96,1,2643.28
937.0,2.0,2.0,33.0,5,3.94,0,3154.14
646.0,2.0,2.0,36.0,8,5.54,0,2892.65
715.0,2.0,2.0,38.0,5,5.12,1,2922.37
644.0,4.0,3.0,28.0,4,3.65,0,3856.17
930.0,3.0,2.0,11.0,3,8.73,1,3171.73
854.0,2.0,2.0,14.0,5,6.38,1,2888.94
973.0,1.0,1.0,19.0,4,7.17,1,2241.09
1230.0,2.0,1.0,48.0,3,2.29,1,2951.64
946.0,2.0,2.0,11.0,9,6.24,1,3168.5
721.0,1.0,1.0,3.0,3,3.18,0,2702.95
771.0,2.0,1.0,37.0,7,6.29,0,2361.18
677.0,2.0,2.0,6.0,8,7.54,1,2972.24
746.0,3.0,3.0,33.0,2,3.66,1,3537.2
813.0,2.0,2.0,5.0,7,5.51,1,3412.01
1171.0,2.0,2.0,34.0,8,1.8,1,3689.81
813.0,2.0,2.0,18.0,6,7.72,1,3052.66
1040.0,3.0,3.0,0.0,6,5.76,1,3501.62
834.0,3.0,3.0,31.0,4,6.06,1,3349.94
793.0,2.0,2.0,20.0,2,3.49,1,3275.85
862.0,2.0,2.0,32.0,4,6.19,1,2882.36
1041.0,2.0,1.0,36.0,8,5.95,1,2606.52
754.0,2.0,1.0,29.0,1,4.81,0,2534.02
843.0,2.0,1.0,46.0,9,4.22,1,2547.27
938.0,3.0,2.0,5.0,4,3.4,1,3653.92
793.0,3.0,3.0,22.0,3,2.64,0,3799.5
884.0,2.0,1.0,15.0,5,0.8,1,3342.2
1067.0,3.0,3.0,1.0,6,5.29,1,3746.15
854.0,1.0,1.0,16.0,6,7.0,0,2257.37
840.0,2.0,2.0,32.0,6,3.75,0,2999.32
1047.0,2.0,2.0,34.0,2,3.69,0,3129.27
900.0,1.0,1.0,10.0,2,5.3,0,2294.67
866.0,1.0,1.0,35.0,2,5.22,1,2469.11
1003.0,3.0,2.0,40.0,1,6.25,0,2800.53
890.0,1.0,1.0,36.0,2,4.48,1,2531.22
564.0,2.0,2.0,42.0,8,4.7,0,2974.58
600.0,1.0,1.0,28.0,2,5.83,0,2116.73
712.0,3.0,3.0,7.0,8,5.96,0,3253.53
937.0,1.0,1.0,38.0,2,7.03,1,2368.25
613.0,3.0,2.0,45.0,7,5.88,1,3134.44
948.0,1.0,1.0,11.0,6,5.66,1,2626.29
689.0,1.0,1.0,7.0,5,3.93,1,2753.8
449.0,2.0,2.0,28.0,3,7.3,0,2257.33
825.0,2.0,2.0,17.0,4,2.49,0,3183.31
995.0,2.0,1.0,32.0,8,4.88,1,2721.82
828.0,2.0,2.0,12.0,8,8.17,1,2670.08
1060.0,1.0,1.0,7.0,2,4.52,0,2677.39
857.0,3.0,3.0,19.0,5,4.92,1,3646.01
744.0,1.0,1.0,19.0,5,3.78,1,2658.71
1004.0,2.0,2.0,26.0,6,4.65,1,3344.03
1111.0,1.0,1.0,19.0,4,8.19,1,2145.31
941.0,2.0,2.0,47.0,5,2.61,1,3362.18
750.0,1.0,1.0,29.0,3,4.33,0,2164.41
744.0,2.0,2.0,24.0,7,2.48,1,3494.47
